species_code,stratum,hauljoin,vessel,cruise,sex,length,age,year
10115,61,-4559,94,200801,2,730,12,2008
10115,61,-4559,94,200801,2,630,12,2008
10115,61,-4559,94,200801,2,770,13,2008
10115,61,-4559,94,200801,2,540,NA,2008
10115,61,-4559,94,200801,2,980,37,2008
30060,61,-4559,94,200801,2,350,12,2008
10115,61,-4559,94,200801,1,490,6,2008
10115,61,-4559,94,200801,1,510,7,2008
10115,61,-4559,94,200801,1,650,10,2008
30060,61,-4559,94,200801,2,340,12,2008
30060,61,-4559,94,200801,2,240,6,2008
30060,61,-4559,94,200801,2,360,12,2008
30060,61,-4559,94,200801,2,200,5,2008
30060,61,-4559,94,200801,2,310,11,2008
30060,61,-4559,94,200801,2,320,12,2008
30060,61,-4559,94,200801,2,220,7,2008
30060,61,-4559,94,200801,2,330,12,2008
30060,61,-4559,94,200801,2,210,6,2008
30060,61,-4559,94,200801,2,410,19,2008
30060,61,-4559,94,200801,2,390,16,2008
30060,61,-4559,94,200801,2,420,25,2008
30060,61,-4559,94,200801,2,430,69,2008
30060,61,-4559,94,200801,2,230,6,2008
30060,61,-4559,94,200801,2,260,8,2008
30060,61,-4559,94,200801,2,160,3,2008
30060,61,-4559,94,200801,2,370,12,2008
30060,61,-4559,94,200801,2,290,8,2008
30060,61,-4559,94,200801,2,180,4,2008
30060,61,-4559,94,200801,1,340,11,2008
30060,61,-4559,94,200801,1,330,12,2008
30060,61,-4559,94,200801,1,300,11,2008
30060,61,-4559,94,200801,1,260,7,2008
30060,61,-4559,94,200801,1,310,12,2008
30060,61,-4559,94,200801,1,240,6,2008
30060,61,-4559,94,200801,1,220,6,2008
30060,61,-4559,94,200801,1,230,6,2008
30060,61,-4559,94,200801,1,170,5,2008
30060,61,-4559,94,200801,1,350,12,2008
30060,61,-4559,94,200801,1,390,29,2008
30060,61,-4559,94,200801,1,210,6,2008
30060,61,-4559,94,200801,1,360,11,2008
10115,61,-4562,94,200801,2,610,8,2008
10115,61,-4562,94,200801,2,750,12,2008
10115,61,-4562,94,200801,2,920,24,2008
10115,61,-4562,94,200801,2,720,12,2008
10115,61,-4562,94,200801,2,810,16,2008
10115,61,-4562,94,200801,2,940,36,2008
10115,61,-4562,94,200801,2,730,9,2008
10115,61,-4562,94,200801,2,670,8,2008
10115,61,-4562,94,200801,2,660,9,2008
10115,61,-4562,94,200801,2,690,10,2008
10115,61,-4562,94,200801,2,1000,23,2008
10115,61,-4562,94,200801,1,590,12,2008
10115,61,-4562,94,200801,1,720,36,2008
10115,61,-4562,94,200801,1,760,33,2008
10115,61,-4562,94,200801,1,740,39,2008
10115,61,-4562,94,200801,1,710,27,2008
10115,61,-4562,94,200801,1,670,33,2008
10115,61,-4562,94,200801,1,730,29,2008
10115,61,-4562,94,200801,1,540,7,2008
10115,61,-4562,94,200801,1,700,31,2008
10115,61,-4562,94,200801,1,580,11,2008
10115,61,-4562,94,200801,1,750,22,2008
10115,61,-4562,94,200801,1,640,20,2008
30060,61,-4559,94,200801,1,320,12,2008
30060,61,-4559,94,200801,1,180,4,2008
30060,61,-4559,94,200801,3,150,3,2008
30060,61,-4559,94,200801,3,100,1,2008
30060,61,-4559,94,200801,3,90,1,2008
10115,61,-4560,94,200801,2,870,19,2008
10115,61,-4560,94,200801,2,640,11,2008
10115,61,-4560,94,200801,2,680,9,2008
10115,61,-4560,94,200801,2,900,36,2008
10115,61,-4560,94,200801,2,650,11,2008
10115,61,-4560,94,200801,2,590,9,2008
10115,61,-4560,94,200801,2,510,6,2008
10115,61,-4560,94,200801,1,520,9,2008
10115,62,-4561,94,200801,2,740,NA,2008
30060,61,-4563,94,200801,1,140,3,2008
10115,61,-4564,94,200801,2,630,8,2008
10115,61,-4564,94,200801,2,530,8,2008
10115,61,-4564,94,200801,2,520,7,2008
10115,61,-4564,94,200801,2,670,8,2008
10115,61,-4564,94,200801,2,610,10,2008
10115,61,-4564,94,200801,2,560,7,2008
10115,61,-4564,94,200801,2,620,NA,2008
10115,61,-4564,94,200801,2,490,6,2008
10115,61,-4564,94,200801,2,940,NA,2008
