year,species_code,length,males,females,unsexed
2017,10112,670,0,0,0
2018,10112,670,0,89391,16548
2019,10112,670,0,266018,0
2021,10112,670,0,39169,0
2017,10112,680,0,29826,0
2018,10112,680,0,18334,16548
2019,10112,680,0,0,0
2021,10112,680,0,171380,0
2017,10112,690,0,94143,0
2018,10112,690,0,27807,16548
2019,10112,690,0,75642,0
2021,10112,690,0,35555,0
2017,10112,700,0,120054,0
2018,10112,700,0,0,0
2019,10112,700,0,0,0
2021,10112,700,0,165825,0
2017,10112,710,0,0,0
2018,10112,710,0,0,0
2019,10112,710,0,0,0
2021,10112,710,0,81493,0
2017,10112,720,0,121992,0
2018,10112,720,0,0,0
2019,10112,720,0,0,0
2021,10112,720,0,0,17758
2017,10112,730,0,47981,0
2018,10112,730,0,77661,16548
2019,10112,730,0,0,0
2021,10112,730,0,28622,0
2017,10112,740,0,21598,0
2018,10112,740,0,18105,0
2019,10112,740,0,0,0
2021,10112,740,0,0,0
2017,10112,750,0,30783,0
2018,10112,750,0,122486,0
2019,10112,750,0,0,0
2021,10112,750,0,0,0
2017,10112,760,0,29826,0
2018,10112,760,0,102069,0
2019,10112,760,0,0,0
2021,10112,760,0,41788,0
2017,10112,770,0,0,0
2018,10112,770,0,32790,0
2019,10112,770,0,0,0
2021,10112,770,0,0,0
2017,10112,780,0,97758,0
2018,10112,780,0,0,0
2019,10112,780,0,0,0
2021,10112,780,0,31179,0
2017,10112,790,0,0,0
2018,10112,790,0,31897,0
2019,10112,790,0,0,0
2021,10112,790,0,0,0
2017,10112,820,0,68188,0
2018,10112,820,0,0,0
2019,10112,820,0,28549,0
2021,10112,820,0,0,0
2017,10115,90,0,0,0
2018,10115,90,0,0,0
2019,10115,90,0,0,0
2021,10115,90,0,27799,0
2017,10115,150,28436,0,0
2018,10115,150,31942,0,0
2019,10115,150,0,0,0
2021,10115,150,0,0,0
2017,10115,160,0,0,0
2018,10115,160,62413,0,0
2019,10115,160,0,0,0
2021,10115,160,0,0,0
2017,10115,210,55492,0,0
2018,10115,210,0,0,0
2019,10115,210,0,0,0
2021,10115,210,0,0,0
2017,10115,220,30370,28436,0
2018,10115,220,0,0,0
2019,10115,220,0,0,0
2021,10115,220,0,0,0
2017,10115,230,28750,0,0
2018,10115,230,30637,0,0
2019,10115,230,0,0,0
2021,10115,230,0,0,0
2017,10115,240,0,31771,0
2018,10115,240,0,0,0
2019,10115,240,0,0,0
2021,10115,240,0,0,0
