year,length,species_code,males,females,unsexed,region
2019,490,10262,0,77698,0,E
2019,500,10262,0,49731,0,E
2019,510,10262,0,0,0,E
2019,520,10262,0,0,0,E
2019,530,10262,0,0,0,E
2019,540,10262,0,0,0,E
2019,550,10262,0,0,0,E
2019,570,10262,0,0,0,E
2021,100,10262,0,0,0,E
2021,130,10262,0,0,0,E
2021,140,10262,0,0,0,E
2021,150,10262,0,0,0,E
2021,160,10262,0,0,0,E
2021,170,10262,0,0,0,E
2021,180,10262,0,41536,0,E
2021,190,10262,0,0,0,E
2021,200,10262,17402,0,0,E
2021,210,10262,44767,0,0,E
2021,220,10262,36910,110730,0,E
2021,230,10262,76826,17402,0,E
2021,240,10262,142478,77147,0,E
2021,250,10262,79832,119748,0,E
2021,260,10262,134144,200401,0,E
2021,270,10262,302367,62179,0,E
2021,280,10262,174060,87630,0,E
2021,290,10262,181236,171348,0,E
2021,300,10262,300820,217550,0,E
2021,310,10262,274220,153527,0,E
2021,320,10262,75802,452778,0,E
2021,330,10262,138934,494791,0,E
2021,340,10262,53806,689327,0,E
2021,350,10262,58400,451605,0,E
2021,360,10262,39916,429452,0,E
2021,370,10262,46283,266035,0,E
2021,380,10262,0,541142,0,E
2021,390,10262,46283,243718,0,E
2021,400,10262,0,319947,0,E
2021,410,10262,0,244832,0,E
2021,420,10262,0,240401,0,E
2021,430,10262,0,332202,0,E
2021,440,10262,0,252625,0,E
2021,450,10262,0,184852,0,E
2021,460,10262,0,140085,0,E
2021,470,10262,0,184852,0,E
2021,480,10262,0,93653,0,E
2021,490,10262,0,92566,0,E
2021,500,10262,0,0,0,E
2021,510,10262,0,0,0,E
2021,520,10262,0,0,0,E
2021,530,10262,0,0,0,E
2021,540,10262,0,0,0,E
2021,550,10262,0,0,0,E
2021,570,10262,0,0,0,E
1996,50,10262,0,0,0,W
1996,60,10261,0,0,0,W
1996,60,10262,0,0,0,W
1996,70,10262,0,0,0,W
1996,80,10262,0,0,0,W
1996,90,10261,0,0,0,W
1996,100,10261,0,0,0,W
1996,100,10262,0,0,0,W
1996,110,10261,0,0,0,W
1996,110,10262,0,0,0,W
1996,120,10261,47088,22332,0,W
1996,120,10262,0,0,0,W
1996,130,10261,12701,81880,0,W
1996,130,10262,26926,0,0,W
1996,140,10261,160347,84735,0,W
1996,140,10262,72372,21494,0,W
1996,150,10261,196635,179827,0,W
1996,150,10262,43546,35057,0,W
1996,160,10261,404407,147164,0,W
1996,160,10262,50998,52385,0,W
1996,170,10261,372986,160044,0,W
1996,170,10262,27100,71210,0,W
1996,180,10261,365411,354308,0,W
1996,180,10262,234026,37567,0,W
1996,190,10261,598187,277965,0,W
1996,190,10262,263694,251886,0,W
1996,200,10261,790198,452319,0,W
1996,200,10262,411811,204501,0,W
1996,210,10261,945445,534713,0,W
1996,210,10262,224847,180014,0,W
1996,220,10261,1694349,654135,0,W
1996,220,10262,306700,203017,0,W
1996,230,10261,1708750,1081644,0,W
1996,230,10262,179667,269222,0,W
1996,240,10261,3784078,1548913,0,W
1996,240,10262,300540,440707,0,W
1996,250,10261,5394556,2963628,0,W
1996,250,10262,351647,270343,0,W
1996,260,10261,7134226,3523237,0,W
1996,260,10262,435300,379900,0,W
1996,270,10261,9766695,5427878,0,W
1996,270,10262,566589,260413,0,W
1996,280,10261,9319540,5510057,14802,W
1996,280,10262,641281,517584,0,W
1996,290,10261,8140219,7106390,0,W
1996,290,10262,566806,506628,0,W
1996,300,10261,5669906,8267625,0,W
1996,300,10262,1175003,503904,7401,W
1996,310,10261,4278578,8620721,0,W
1996,310,10262,1326544,916909,0,W
1996,320,10261,3361294,8386183,0,W
1996,320,10262,1486968,913237,0,W
1996,330,10261,2596029,7443401,0,W
1996,330,10262,1546435,880354,7401,W
1996,340,10261,2483690,7580370,0,W
1996,340,10262,1533457,1470345,0,W
1996,350,10261,1455440,5691681,0,W
1996,350,10262,1649791,1840519,0,W
1996,360,10261,1390427,5271017,0,W
1996,360,10262,1209134,2322768,0,W
1996,370,10261,746974,4057672,0,W
1996,370,10262,879520,3428464,0,W
1996,380,10261,624166,4458198,14802,W
1996,380,10262,336814,4281890,0,W
1996,390,10261,319009,3834929,0,W
1996,390,10262,137251,5209377,0,W
1996,400,10261,96125,2935744,7401,W
1996,400,10262,23363,6064175,7401,W
1996,410,10261,82443,1878688,7401,W
1996,410,10262,44857,5817777,14802,W
1996,420,10261,11912,1213431,0,W
1996,420,10262,21440,4703348,0,W
1996,430,10261,0,828524,7401,W
1996,430,10262,34280,3991968,7401,W
1996,440,10261,0,553829,0,W
1996,440,10262,24988,2622679,14802,W
1996,450,10261,0,260264,0,W
1996,450,10262,0,1900619,0,W
1996,460,10261,0,62880,0,W
1996,460,10262,0,969925,0,W
1996,470,10261,0,66232,0,W
1996,470,10262,0,496686,0,W
1996,480,10261,0,0,0,W
1996,480,10262,0,383863,7401,W
1996,490,10261,0,51968,0,W
1996,490,10262,0,72167,0,W
1996,500,10261,0,0,0,W
1996,500,10262,0,33648,0,W
1996,510,10261,0,0,0,W
1996,510,10262,0,45997,0,W
1996,520,10261,0,0,0,W
1996,520,10262,0,0,0,W
1996,530,10261,0,0,0,W
1996,530,10262,0,0,0,W
1996,540,10261,0,0,0,W
1996,540,10262,0,8217,0,W
1996,550,10261,0,0,0,W
1996,550,10262,0,0,0,W
1996,560,10261,0,0,0,W
1996,560,10262,0,0,0,W
1996,570,10261,0,0,0,W
1996,570,10262,0,0,0,W
1996,580,10262,0,0,0,W
1996,590,10261,0,0,0,W
1996,590,10262,0,0,0,W
1996,620,10261,0,0,0,W
1996,680,10262,0,0,0,W
1999,50,10262,0,21992,0,W
1999,60,10261,0,0,0,W
1999,60,10262,0,0,0,W
1999,70,10262,0,0,0,W
1999,80,10262,0,0,0,W
1999,90,10261,0,0,0,W
1999,100,10261,0,0,0,W
1999,100,10262,0,0,0,W
1999,110,10261,0,0,0,W
1999,110,10262,0,0,0,W
1999,120,10261,37860,0,0,W
1999,120,10262,0,0,0,W
1999,130,10261,0,0,0,W
1999,130,10262,19932,19279,0,W
